dataset,feature,n_obs
proteome,DNAJB1,10318
proteome,DNAJB14,9886
proteome,DNAJB2,9676
proteome,DNAJB6,9590
proteome,DNAJB8,10146
proteome,DNAJC21,9903
proteome,DNAJC6,9666
proteome,DNAJC9,9886
proteome,DNER,10280
proteome,DNLZ,9605
proteome,DNM1,9886
proteome,DNM3,9908
proteome,DNMBP,10264
proteome,DNPEP,9903
proteome,DNPH1,10330
proteome,DOC2B,9655
proteome,DOCK9,9605
proteome,DOK1,9903
proteome,DOK2,10283
proteome,DPEP1,10256
proteome,DPEP2,10318
proteome,DPP10,10298
proteome,DPP4,10102
proteome,DPP6,10318
proteome,DPP7,10219
proteome,DPT,10431
proteome,DPY30,10389
proteome,DRAXIN,10264
proteome,DRG2,10318
proteome,DSC2,10212
proteome,DSCAM,9908
proteome,DSG2,10349
proteome,DSG3,10359
proteome,DSG4,10298
proteome,DTD1,9676
proteome,DTNB,9855
proteome,DTX2,9655
proteome,DTX3,10318
proteome,DTYMK,9919
proteome,DUOX2,10146
proteome,DUSP13,9877
proteome,DUSP29,9655
proteome,DUSP3,10131
proteome,DUT,9886
proteome,DXO,9903
proteome,DYNC1H1,9877
proteome,DYNLT1,9655
proteome,DYNLT3,9877
proteome,EBAG9,10264
proteome,EBI3_IL27,10427
proteome,ECE1,10131
proteome,ECHDC3,9919
proteome,ECHS1,9666
proteome,ECI2,9611
proteome,ECM1,9698
proteome,ECSCR,9605
proteome,EDA2R,10438
proteome,EDAR,10298
proteome,EDDM3B,9877
proteome,EDEM2,9611
proteome,EDF1,9908
proteome,EDIL3,10146
proteome,EDN1,9666
proteome,EDNRB,9627
proteome,EEF1D,9919
proteome,EFCAB14,9886
proteome,EFCAB2,9746
proteome,EFEMP1,10331
proteome,EFHD1,9908
proteome,EFNA1,10325
proteome,EFNA4,10245
proteome,EFNB2,9655
proteome,EGF,10238
proteome,EGFL7,10125
proteome,EGFLAM,9886
proteome,EGFR,10431
proteome,EGLN1,10298
proteome,EHBP1,9919
proteome,EHD3,9666
proteome,EIF1AX,9903
proteome,EIF2AK2,9843
proteome,EIF2AK3,9611
proteome,EIF2S2,9666
proteome,EIF4B,10264
proteome,EIF4E,9627
proteome,EIF4EBP1,10283
proteome,EIF4G1,10432
proteome,EIF4G3,9908
proteome,EIF5,9611
proteome,EIF5A,10167
proteome,ELAC1,9908
proteome,ELAVL4,9605
proteome,ELN,9919
proteome,ELOA,10318
proteome,ELOB,9611
proteome,ENAH,10167
proteome,ENDOU,9231
proteome,ENG,10431
proteome,ENO1,10314
proteome,ENO2,10430
proteome,ENO3,9666
proteome,ENOPH1,9877
proteome,ENOX2,9611
proteome,ENPEP,9611
proteome,ENPP2,10431
proteome,ENPP5,10351
proteome,ENPP6,9666
proteome,ENPP7,10027
proteome,ENSA,9877
proteome,ENTPD2,10125
proteome,ENTPD5,10146
proteome,ENTPD6,10146
proteome,ENTR1,9666
proteome,EP300,9627
proteome,EPB41L5,9655
proteome,EPCAM,10322
proteome,EPGN,9877
proteome,EPHA1,10330
proteome,EPHA10,10131
proteome,EPHA2,9901
proteome,EPHA4,9676
proteome,EPHB4,10431
proteome,EPHB6,10256
proteome,EPHX2,10146
proteome,EPN1,9746
proteome,EPO,10298
proteome,EPPK1,9666
proteome,EPS8L2,10400
proteome,ERBB2,10379
proteome,ERBB3,10279
proteome,ERBB4,10379
proteome,ERBIN,10318
proteome,ERC2,9655
proteome,ERCC1,9580
proteome,EREG,10256
proteome,ERI1,9746
proteome,ERMAP,9627
proteome,ERN1,9877
proteome,ERP29,9676
proteome,ERP44,10300
proteome,ERVV_1,9611
proteome,ESAM,10431
proteome,ESM1,10330
proteome,ESPL1,9580
proteome,ESR1,9627
proteome,ESYT2,9903
proteome,EVI2B,9580
proteome,EVI5,9627
proteome,EVPL,9746
proteome,EXOSC10,9611
proteome,EXTL1,9611
proteome,EZR,10430
proteome,F10,9904
proteome,F11,9755
proteome,F11R,10349
proteome,F12,9911
proteome,F13B,9848
proteome,F2,9911
proteome,F2R,10343
proteome,F3,10351
proteome,F7,10318
proteome,F9,10312
proteome,FABP1,10330
proteome,FABP2,10283
proteome,FABP3,9919
proteome,FABP4,10431
proteome,FABP5,10393
proteome,FABP6,10146
proteome,FABP9,10298
proteome,FADD,10283
proteome,FAM13A,9886
proteome,FAM171A2,9908
proteome,FAM171B,9877
proteome,FAM172A,9666
proteome,FAM20A,9919
proteome,FAM3B,10318
proteome,FAM3C,10253
proteome,FAM3D,9886
proteome,FAP,10431
proteome,FARSA,9655
proteome,FAS,10390
proteome,FASLG,10432
proteome,FBLN2,9921
proteome,FBN2,9655
proteome,FBP1,10283
proteome,FCAMR,9919
proteome,FCAR,10298
proteome,FCER1A,9908
proteome,FCER2,10349
proteome,FCGR2A,10212
proteome,FCGR2B,10125
proteome,FCGR3B,10288
proteome,FCN1,9885
proteome,FCN2,10247
proteome,FCRL1,10283
proteome,FCRL2,10410
proteome,FCRL3,10167
proteome,FCRL5,10349
proteome,FCRL6,10298
proteome,FCRLB,10125
proteome,FDX1,9611
proteome,FDX2,9611
proteome,FEN1,10125
proteome,FES,10125
proteome,FETUB,10312
proteome,FGA,9691
proteome,FGD3,9908
proteome,FGF12,9627
proteome,FGF16,9627
proteome,FGF19,10351
proteome,FGF2,10298
proteome,FGF20,9627
proteome,FGF21,10427
proteome,FGF23,10408
proteome,FGF3,9627
proteome,FGF5,10167
proteome,FGF6,9627
proteome,FGF7,9580
proteome,FGF9,9568
proteome,FGFBP1,10379
proteome,FGFBP2,9921
proteome,FGFBP3,9903
proteome,FGFR2,10379
proteome,FGFR4,9676
proteome,FGL1,9904
proteome,FGR,10131
proteome,FH,9605
proteome,FHIP2A,9611
proteome,FHIT,10131
proteome,FIS1,10289
proteome,FKBP14,9908
proteome,FKBP1B,10388
proteome,FKBP4,10264
proteome,FKBP5,10264
proteome,FKBP7,10123
proteome,FKBPL,9886
proteome,FLI1,10125
proteome,FLRT2,10264
proteome,FLT1,10274
proteome,FLT3,10125
proteome,FLT3LG,10432
proteome,FLT4,10379
proteome,FMNL1,10131
proteome,FMR1,10125
proteome,FN1,9911
proteome,FNDC1,9903
proteome,FNTA,9877
proteome,FOLH1,9627
proteome,FOLR1,10315
proteome,FOLR2,10430
proteome,FOLR3,10358
proteome,FOS,9568
proteome,FOSB,10131
proteome,FOXJ3,9627
proteome,FOXO1,10298
proteome,FOXO3,10125
proteome,FRMD4B,9611
proteome,FRMD7,9655
proteome,FRZB,10232
proteome,FSHB,9666
proteome,FST,10343
proteome,FSTL1,9666
proteome,FSTL3,10278
proteome,FTCD,9881
proteome,FUCA1,10381
proteome,FUOM,9676
proteome,FURIN,10379
proteome,FUS,10095
proteome,FUT1,9730
proteome,FUT3_FUT5,10430
proteome,FUT8,10264
proteome,FXN,10438
proteome,FXYD5,10167
proteome,FYB1,10332
proteome,FZD10,9655
proteome,FZD8,9605
proteome,GABARAP,9877
proteome,GABARAPL1,9746
proteome,GABRA4,9605
proteome,GAD1,9580
proteome,GAD2,9627
proteome,GADD45B,9746
proteome,GADD45GIP1,9666
proteome,GAGE2A,9580
proteome,GAL,10351
proteome,GALNT10,10318
proteome,GALNT2,10438
proteome,GALNT3,10167
proteome,GALNT5,9919
proteome,GALNT7,10318
proteome,GAMT,9611
proteome,GAPDH,9503
proteome,GART,9908
proteome,GAS2,9746
proteome,GAS6,10372
proteome,GASK1A,9611
proteome,GAST,9903
proteome,GATA3,9580
proteome,GATD3,9666
proteome,GBA,9655
proteome,GBP1,9896
proteome,GBP2,10167
proteome,GBP4,10131
proteome,GBP6,9611
proteome,GC,9911
proteome,GCC1,9903
proteome,GCG,10125
proteome,GCHFR,9460
proteome,GCLM,9611
proteome,GCNT1,10318
proteome,GDF15,10431
proteome,GDF2,10283
proteome,GDNF,10131
proteome,GET3,9919
proteome,GFAP,10125
proteome,GFER,10125
proteome,GFOD2,10125
proteome,GFRA1,10427
proteome,GFRA2,10318
proteome,GFRA3,10247
proteome,GFRAL,9599
proteome,GGA1,10131
proteome,GGACT,9919
proteome,GGCT,9910
proteome,GGH,10119
proteome,GGT1,10325
proteome,GGT5,10264
proteome,GH1,10253
proteome,GH2,10125
proteome,GHR,9676
proteome,GHRHR,10131
proteome,GHRL,10283
proteome,GID8,9908
proteome,GIGYF2,9908
proteome,GIMAP7,9676
proteome,GIMAP8,9580
proteome,GIP,9666
proteome,GIPC2,9903
proteome,GIPC3,9886
proteome,GIPR,9627
proteome,GIT1,9627
proteome,GJA8,9580
proteome,GKN1,10098
proteome,GLA,9659
proteome,GLB1,10264
proteome,GLI2,9627
proteome,GLIPR1,45
proteome,GLO1,10146
proteome,GLOD4,10281
proteome,GLP1R,9605
proteome,GLRX,10239
proteome,GLRX5,9676
proteome,GLT8D2,10131
proteome,GLYR1,9877
proteome,GM2A,9701
proteome,GMFG,9919
proteome,GMPR,10432
proteome,GMPR2,9676
proteome,GNAS,9908
proteome,GNE,10125
proteome,GNGT1,9655
proteome,GNLY,10349
proteome,GNPDA1,9666
proteome,GNPDA2,9676
proteome,GOLGA3,9908
proteome,GOLM2,10430
proteome,GOPC,10298
proteome,GORASP2,9886
proteome,GOT1,9921
proteome,GP1BA,10254
proteome,GP1BB,9611
proteome,GP2,9944
proteome,GP5,9676
proteome,GP6,10332
proteome,GPA33,10318
proteome,GPC1,10438
proteome,GPC5,10264
proteome,GPD1,9877
proteome,GPHA2,9886
proteome,GPI,9904
proteome,GPIHBP1,9886
proteome,GPKOW,10131
proteome,GPNMB,9981
proteome,GPR101,9605
proteome,GPR158,9908
proteome,GPR15L,9886
proteome,GPR37,10146
proteome,GPRC5C,9877
proteome,GRAP2,10283
proteome,GRHPR,9919
proteome,GRIK2,9908
proteome,GRIN2B,9605
proteome,GRK5,10146
proteome,GRN,10283
proteome,GRP,9666
proteome,GRPEL1,10318
proteome,GRSF1,9545
proteome,GSAP,10125
proteome,GSN,9848
proteome,GSR,9866
proteome,GSTA1,10283
proteome,GSTA3,10125
proteome,GSTM4,9611
proteome,GSTP1,10098
proteome,GSTT2B,9903
proteome,GTF2IRD1,9746
proteome,GTPBP2,9655
proteome,GUCA2A,10295
proteome,GUCY2C,9746
proteome,GUK1,9611
proteome,GUSB,10374
proteome,GYS1,10146
proteome,GZMA,10432
proteome,GZMB,10298
proteome,GZMH,10146
proteome,H2AP,9580
proteome,HADH,9611
proteome,HAGH,10409
proteome,HAO1,10438
proteome,HARS1,10349
proteome,HAVCR1,10420
proteome,HAVCR2,10349
proteome,HBEGF,10409
proteome,HBQ1,10438
proteome,HBZ,9919
proteome,HCG22,9611
proteome,HCLS1,10432
proteome,HDAC8,9627
proteome,HDAC9,9605
proteome,HDDC2,9886
proteome,HDGF,10423
proteome,HDGFL2,9903
proteome,HEBP1,10146
proteome,HEG1,9676
proteome,HEPACAM2,9903
proteome,HEPH,9919
proteome,HEXIM1,10298
proteome,HGF,10432
proteome,HGFAC,9814
proteome,HGS,10125
proteome,HHEX,9903
proteome,HIF1A,9627
proteome,HIP1,9611
proteome,HIP1R,9872
proteome,HJV,9908
proteome,HK2,10146
proteome,HLA_A,9908
proteome,HLA_DRA,10298
proteome,HLA_E,10298
proteome,HMBS,10438
proteome,HMCN2,9667
proteome,HMGCL,9666
proteome,HMGCS1,9611
proteome,HMMR,9558
proteome,HMOX1,10124
proteome,HMOX2,10131
proteome,HNF1A,9655
proteome,HNMT,10211
proteome,HNRNPK,10085
proteome,HNRNPUL1,9908
proteome,HPCAL1,10432
proteome,HPGDS,10125
proteome,HPSE,9816
proteome,HRAS,9733
proteome,HRC,9666
proteome,HRG,9848
proteome,HS1BP3,9666
proteome,HS3ST3B1,10318
proteome,HS6ST1,10438
proteome,HS6ST2,9627
proteome,HSBP1,9666
proteome,HSD11B1,10298
proteome,HSD17B14,9903
proteome,HSD17B3,9611
proteome,HSDL2,9666
proteome,HSP90B1,10044
proteome,HSPA1A,10330
proteome,HSPA2,9877
proteome,HSPB1,10137
proteome,HSPB6,10438
proteome,HSPG2,10160
proteome,HTR1A,9605
proteome,HTR1B,9605
proteome,HTRA2,10379
proteome,HYAL1,10280
proteome,HYOU1,10431
proteome,ICA1,10167
proteome,ICAM1,10240
proteome,ICAM2,10431
proteome,ICAM3,10431
proteome,ICAM4,10298
proteome,ICAM5,10283
proteome,ICOSLG,10318
proteome,ID4,9746
proteome,IDI2,10131
proteome,IDO1,9666
proteome,IDS,10432
proteome,IDUA,10438
proteome,IFI30,9670
proteome,IFIT1,9746
proteome,IFIT3,9746
proteome,IFNAR1,9886
proteome,IFNG,10167
proteome,IFNGR1,10351
proteome,IFNGR2,10264
proteome,IFNL1,10131
proteome,IFNL2,9605
proteome,IFNLR1,10298
proteome,IFNW1,9611
proteome,IFT20,9655
proteome,IGBP1,9908
proteome,IGDCC3,9605
proteome,IGDCC4,9921
proteome,IGF1R,10318
proteome,IGF2BP3,9611
proteome,IGF2R,10349
proteome,IGFBP1,10410
proteome,IGFBP2,10420
proteome,IGFBP3,10345
proteome,IGFBP4,10251
proteome,IGFBP6,10252
proteome,IGFBP7,10431
proteome,IGFBPL1,10283
proteome,IGFL4,9627
proteome,IGHMBP2,9611
proteome,IGLC2,9888
proteome,IGLON5,9580
proteome,IGSF21,9666
proteome,IGSF3,10318
proteome,IGSF8,10283
proteome,IGSF9,9919
proteome,IKBKG,10298
proteome,IKZF2,10125
proteome,IL10,10167
proteome,IL10RA,10167
proteome,IL10RB,10351
proteome,IL11,10167
proteome,IL12A_IL12B,10318
proteome,IL12B,10432
proteome,IL12RB1,10167
proteome,IL12RB2,9627
proteome,IL13,10167
proteome,IL13RA1,10241
proteome,IL13RA2,9605
proteome,IL15,10298
proteome,IL15RA,10167
proteome,IL16,10432
proteome,IL17A,10167
proteome,IL17C,10167
proteome,IL17D,10167
proteome,IL17F,10167
proteome,IL17RA,10349
proteome,IL17RB,10130
proteome,IL18,10295
proteome,IL18BP,10345
proteome,IL18R1,10432
proteome,IL18RAP,10220
proteome,IL19,10080
proteome,IL1A,10167
proteome,IL1B,10082
proteome,IL1R1,10325
proteome,IL1R2,10303
proteome,IL1RAP,10349
proteome,IL1RL1,10390
proteome,IL1RL2,10167
proteome,IL1RN,10240
proteome,IL2,10167
proteome,IL20,10167
proteome,IL20RA,10167
proteome,IL20RB,9627
proteome,IL21R,9627
proteome,IL22,9877
proteome,IL22RA1,10167
proteome,IL24,10167
proteome,IL25,9556
proteome,IL2RA,10196
proteome,IL2RB,10167
proteome,IL2RG,9877
proteome,IL3,9580
proteome,IL31,9627
proteome,IL31RA,9589
proteome,IL32,10298
proteome,IL33,10167
proteome,IL34,10114
proteome,IL36A,9627
proteome,IL36G,9600
proteome,IL3RA,10167
proteome,IL4,10167
proteome,IL4R,10298
proteome,IL5,10167
proteome,IL5RA,10298
proteome,IL6,10318
proteome,IL6R,10230
proteome,IL6ST,10283
proteome,IL7,10298
proteome,IL7R,10349
proteome,IL9,9746
proteome,ILKAP,10123
proteome,IMMT,9877
proteome,IMPA1,10264
proteome,IMPACT,9903
proteome,IMPG1,9605
proteome,ING1,10123
proteome,INHBB,9676
proteome,INHBC,10349
proteome,INPP1,10318
proteome,INPP5D,9666
proteome,INPP5J,9908
proteome,INPPL1,10318
proteome,INSL3,9903
proteome,INSL4,9877
proteome,INSL5,9886
proteome,INSR,9627
proteome,IPCEF1,10245
proteome,IQGAP2,10318
proteome,IRAG2,10146
proteome,IRAK1,10167
proteome,IRAK4,10298
proteome,ISLR2,10117
proteome,ISM1,10298
proteome,ISM2,9921
proteome,IST1,9848
proteome,ITGA11,10298
proteome,ITGA2,9676
proteome,ITGA5,10349
proteome,ITGA6,10298
proteome,ITGAL,9627
proteome,ITGAM,10349
proteome,ITGAV,10438
proteome,ITGAX,9746
proteome,ITGB1,10294
proteome,ITGB1BP1,10125
proteome,ITGB1BP2,10146
proteome,ITGB2,10241
proteome,ITGB5,10379
proteome,ITGB6,10167
proteome,ITGB7,10438
proteome,ITGBL1,9921
proteome,ITIH1,9911
proteome,ITIH3,10345
proteome,ITIH4,9911
proteome,ITIH5,9877
proteome,ITM2A,10298
proteome,ITPA,9611
proteome,ITPR1,9666
proteome,ITPRIP,9605
proteome,IVD,10131
proteome,IZUMO1,9580
proteome,JAM2,10430
proteome,JAM3,9676
proteome,JCHAIN,10167
proteome,JMJD1C,9580
proteome,JPT2,9886
proteome,JUN,10167
proteome,KAZALD1,10318
proteome,KAZN,9886
proteome,KCNC4,9605
proteome,KCNH2,9655
proteome,KCNIP4,10131
proteome,KCTD5,9718
proteome,KDM3A,9627
proteome,KDR,10379
proteome,KEL,10131
proteome,KHDC3L,9580
proteome,KHK,9666
proteome,KIAA0319,9903
proteome,KIAA1549,9746
proteome,KIAA1549L,9746
proteome,KIAA2013,9877
proteome,KIF1C,9611
proteome,KIF20B,9605
proteome,KIF22,9611
proteome,KIFBP,10318
proteome,KIR2DL2,9877
proteome,KIR2DL3,10125
proteome,KIR2DS4,9886
proteome,KIR3DL1,10125
proteome,KIR3DL2,9580
proteome,KIRREL1,9605
proteome,KIRREL2,10131
proteome,KIT,10312
proteome,KITLG,10283
proteome,KLB,10131
proteome,KLF4,9605
proteome,KLHL41,9908
proteome,KLK1,10267
proteome,KLK10,10348
proteome,KLK11,10331
proteome,KLK12,10125
proteome,KLK13,10051
proteome,KLK14,10438
proteome,KLK15,9852
proteome,KLK3,9921
proteome,KLK4,10438
proteome,KLK6,10365
proteome,KLK7,9494
proteome,KLK8,10077
proteome,KLKB1,9688
proteome,KLRB1,10432
proteome,KLRC1,9605
proteome,KLRD1,10432
proteome,KLRF1,9627
proteome,KLRK1,9903
proteome,KRT14,9884
proteome,KRT17,9611
proteome,KRT18,10318
proteome,KRT19,10275
proteome,KRT5,10131
proteome,KRT6C,9611
proteome,KRT8,9605
proteome,KYAT1,10269
proteome,KYNU,10432
proteome,L1CAM,10379
proteome,L3HYPDH,9919
proteome,LACRT,9824
proteome,LACTB2,10283
proteome,LAG3,10318
proteome,LAIR1,10330
proteome,LAIR2,10264
proteome,LAMA1,9611
proteome,LAMA4,10351
proteome,LAMB1,9666
proteome,LAMP1,9625
proteome,LAMP2,10158
proteome,LAMP3,10415
proteome,LAMTOR5,9877
proteome,LAP3,10167
proteome,LARP1,9877
proteome,LAT,10432
proteome,LAT2,10318
proteome,LATS1,9627
proteome,LAYN,10256
proteome,LBP,10345
proteome,LBR,10430
proteome,LCAT,9904
proteome,LCN15,9908
proteome,LCN2,9922
proteome,LCP1,9921
proteome,LDLR,10338
proteome,LDLRAP1,9908
proteome,LECT2,9919
proteome,LEFTY2,10427
proteome,LEG1,9386
proteome,LELP1,9605
proteome,LEO1,9908
proteome,LEP,10283
proteome,LEPR,10283
proteome,LETM1,9908
proteome,LGALS1,10283
proteome,LGALS3,10302
proteome,LGALS3BP,9911
proteome,LGALS4,10330
proteome,LGALS7_LGALS7B,10260
proteome,LGALS8,10430
proteome,LGALS9,10302
proteome,LGMN,10351
proteome,LHB,10125
proteome,LHPP,10281
proteome,LIF,10131
proteome,LIFR,10298
proteome,LILRA2,10349
proteome,LILRA3,9921
proteome,LILRA4,9611
proteome,LILRA5,10253
proteome,LILRA6,9919
proteome,LILRB1,10431
proteome,LILRB2,10379
proteome,LILRB4,10167
proteome,LILRB5,10431
proteome,LIPF,9666
proteome,LMNB1,9874
proteome,LMNB2,9903
proteome,LMOD1,9908
proteome,LMOD2,9605
proteome,LONP1,9666
proteome,LPA,9703
proteome,LPCAT2,10318
proteome,LPL,10283
proteome,LPO,10083
proteome,LPP,9611
proteome,LRCH4,9611
proteome,LRFN2,9655
proteome,LRG1,9911
proteome,LRIG1,10409
proteome,LRIG3,9606
proteome,LRP1,10318
proteome,LRP11,10283
proteome,LRP2,9655
proteome,LRP2BP,9655
proteome,LRPAP1,10430
proteome,LRRC25,10318
proteome,LRRC37A2,9886
proteome,LRRC38,9655
proteome,LRRC59,9919
proteome,LRRFIP1,9877
proteome,LRRN1,10167
proteome,LRTM1,9655
proteome,LRTM2,9908
proteome,LSM1,10125
proteome,LSM8,9746
proteome,LSP1,10298
proteome,LTA,10298
proteome,LTA4H,10438
proteome,LTB,9877
proteome,LTBP2,10431
proteome,LTBP3,10125
proteome,LTBR,10268
proteome,LTO1,10167
proteome,LUZP2,9877
proteome,LXN,10224
proteome,LY6D,10183
proteome,LY75,10298
proteome,LY9,10191
proteome,LY96,10264
proteome,LYAR,10125
proteome,LYN,10318
proteome,LYPD1,10131
proteome,LYPD3,10322
proteome,LYPD8,10125
proteome,LYPLA2,9605
proteome,LYSMD3,9655
proteome,LYVE1,9911
proteome,LYZL2,9580
proteome,LZTFL1,9676
proteome,M6PR,9666
proteome,MAD1L1,10252
proteome,MAEA,10125
proteome,MAG,9655
proteome,MAGEA3,9746
proteome,MAGED1,10125
proteome,MAMDC2,9919
proteome,MAMDC4,9877
proteome,MAN1A2,9666
proteome,MAN2B2,9919
proteome,MANEAL,9580
proteome,MANF,10351
proteome,MANSC1,10379
proteome,MANSC4,9611
proteome,MAP1LC3A,9605
proteome,MAP1LC3B2,9611
proteome,MAP2,9903
proteome,MAP2K1,9886
proteome,MAP2K6,10298
proteome,MAP3K5,10125
proteome,MAP4K5,10256
proteome,MAPK13,9580
proteome,MAPK9,10298
proteome,MAPKAPK2,9746
proteome,MAPRE3,9580
proteome,MAPT,10131
proteome,MARCO,10283
proteome,MARS1,9659
proteome,MASP1,10256
proteome,MATN2,10341
proteome,MATN3,10245
proteome,MAVS,10125
proteome,MAX,10131
proteome,MB,10431
proteome,MBL2,9762
proteome,MCAM,10345
proteome,MCEE,9908
proteome,MCEMP1,9627
proteome,MCFD2,10276
proteome,MCTS1,9886
proteome,MDGA1,10264
proteome,MDH1,9863
proteome,MDK,10379
proteome,MDM1,9655
proteome,MECR,9666
proteome,MED18,10125
proteome,MED21,9611
proteome,MEGF10,10330
proteome,MEGF11,9611
proteome,MEGF9,10390
proteome,MELTF,9919
proteome,MENT,9676
proteome,MEP1A,9886
proteome,MEP1B,10283
proteome,MEPE,10330
proteome,MERTK,10432
proteome,MESD,10349
proteome,MET,10385
proteome,METAP1,10131
proteome,METAP1D,10298
proteome,METAP2,10427
proteome,MFAP3,10146
proteome,MFAP3L,9655
proteome,MFAP4,9676
proteome,MFAP5,10431
proteome,MFGE8,10349
proteome,MGLL,10343
proteome,MGMT,10298
proteome,MIA,10379
proteome,MICALL2,9655
proteome,MICB_MICA,10298
proteome,MIF,10321
proteome,MILR1,10167
proteome,MINDY1,9877
proteome,MINK1,9903
proteome,MITD1,10264
proteome,MKI67,9627
proteome,MLLT1,9580
proteome,MLN,10298
proteome,MME,10318
proteome,MMP1,9836
proteome,MMP10,10316
proteome,MMP12,10320
proteome,MMP13,10131
proteome,MMP15,9919
proteome,MMP3,10349
proteome,MMP7,10120
proteome,MMP8,10406
proteome,MMP9,10330
proteome,MMUT,9611
proteome,MN1,9655
proteome,MNAT1,9746
proteome,MNDA,10283
proteome,MOCS2,9676
proteome,MOG,10438
proteome,MORC3,9903
proteome,MORF4L1,9746
proteome,MORF4L2,9580
proteome,MORN4,9580
proteome,MPHOSPH8,10146
proteome,MPI,10318
proteome,MPIG6B,10343
proteome,MPO,10349
proteome,MPRIP,9861
proteome,MRC1,9904
proteome,MRI1,9655
proteome,MRPL24,9611
proteome,MRPL28,9908
proteome,MRPL46,10131
proteome,MRPL52,9558
proteome,MRPL58,9908
proteome,MRPS16,9627
proteome,MSLN,10296
proteome,MSLNL,9655
proteome,MSMB,10279
proteome,MSR1,10430
proteome,MSRA,10379
proteome,MST1,9775
proteome,MSTN,10146
proteome,MTDH,9627
proteome,MTHFD2,9903
proteome,MTHFSD,9746
proteome,MTIF3,9886
proteome,MTPN,10146
proteome,MTR,9611
proteome,MTSS1,9886
proteome,MTSS2,9877
proteome,MTUS1,9746
proteome,MUC13,10131
proteome,MUC16,10318
proteome,MUC2,9921
proteome,MUCL3,9580
proteome,MVK,10167
proteome,MXRA8,9676
proteome,MYBPC1,9919
proteome,MYBPC2,9666
proteome,MYCBP2,9908
proteome,MYDGF,9919
proteome,MYH4,9611
proteome,MYH7B,9580
proteome,MYH9,9921
proteome,MYL1,9611
proteome,MYL3,9666
proteome,MYL4,9666
proteome,MYL6B,9655
proteome,MYLPF,9655
proteome,MYO6,9908
proteome,MYO9B,10167
proteome,MYOC,10349
proteome,MYOM1,9605
proteome,MYOM2,9611
proteome,MYOM3,9676
proteome,MZB1,10349
proteome,MZT1,10125
proteome,NAA10,9611
proteome,NAA80,9655
proteome,NAAA,10244
proteome,NACC1,9877
proteome,NADK,10283
proteome,NAGA,9604
proteome,NAGK,9661
proteome,NAGPA,9676
proteome,NAMPT,10125
proteome,NAP1L4,9864
proteome,NAPRT,9903
proteome,NARS1,9908
proteome,NBL1,10379
proteome,NBN,10167
proteome,NCAM1,10345
proteome,NCAM2,10349
proteome,NCAN,10430
proteome,NCF2,10296
proteome,NCK2,10351
proteome,NCLN,10167
proteome,NCR1,10298
proteome,NCR3LG1,9886
proteome,NCS1,10438
proteome,NDRG1,10131
proteome,NDST1,9877
proteome,NDUFA5,9594
proteome,NDUFB7,9886
proteome,NDUFS6,10125
proteome,NEB,9611
proteome,NECAP2,9611
proteome,NECTIN1,9627
proteome,NECTIN2,10253
proteome,NECTIN4,10379
proteome,NEDD4L,9627
proteome,NEDD9,9627
proteome,NEFL,10091
proteome,NEK7,9746
proteome,NELL1,10379
proteome,NELL2,10351
proteome,NENF,9877
proteome,NEO1,9908
proteome,NEXN,9904
proteome,NFASC,10432
proteome,NFAT5,9627
proteome,NFATC1,10298
proteome,NFATC3,10167
proteome,NFE2,9666
proteome,NFIC,9908
proteome,NFKB1,9611
proteome,NFKB2,9746
proteome,NFKBIE,10125
proteome,NFU1,9886
proteome,NFX1,9611
proteome,NFYA,9611
proteome,NGF,10264
proteome,NGFR,9919
proteome,NGRN,9903
proteome,NHLRC3,9502
proteome,NID1,10295
proteome,NID2,10349
proteome,NINJ1,10125
proteome,NIT1,9666
proteome,NIT2,9874
proteome,NLGN1,9655
proteome,NLGN2,9605
proteome,NME1,9627
proteome,NME3,10341
proteome,NMI,9863
proteome,NMNAT1,10264
proteome,NMRK2,9580
proteome,NMT1,9908
proteome,NOMO1,10349
proteome,NOP56,9611
proteome,NOS1,10131
proteome,NOS2,9611
proteome,NOS3,10131
proteome,NOTCH1,10431
proteome,NOTCH2,9921
proteome,NOTCH3,10431
proteome,NPC2,9787
proteome,NPDC1,10283
proteome,NPHS1,9627
proteome,NPHS2,9627
proteome,NPL,9919
proteome,NPM1,3106
proteome,NPPB,10146
proteome,NPPC,10298
proteome,NPR1,9611
proteome,NPTN,10125
proteome,NPTX1,10349
proteome,NPTX2,9921
proteome,NPTXR,10283
proteome,NPY,10438
proteome,NRCAM,10283
proteome,NRGN,9904
proteome,NRN1,9908
proteome,NRP1,10345
proteome,NRP2,10349
proteome,NRTN,10167
proteome,NRXN3,9655
proteome,NSFL1C,10430
proteome,NT5C,9919
proteome,NT5C1A,9903
proteome,NT5C3A,10298
proteome,NT5E,10379
proteome,NTF3,10298
proteome,NTF4,10125
proteome,NTPROBNP,10283
proteome,NTRK2,10283
proteome,NTRK3,10430
proteome,NUB1,10298
proteome,NUBP1,9877
proteome,NUCB2,10423
proteome,NUDC,10432
proteome,NUDT10,9666
proteome,NUDT15,9611
proteome,NUDT16,9872
proteome,NUDT2,10318
proteome,NUDT5,10349
proteome,NUMB,9627
proteome,NUP50,9611
proteome,NXPE4,9611
proteome,NXPH1,10131
proteome,NXPH3,9627
proteome,OBP2B,10245
proteome,OCLN,9908
proteome,ODAM,10114
proteome,OFD1,9746
proteome,OGA,9886
proteome,OGFR,10318
proteome,OGN,10349
